epoch,trainingloss,validationloss,trainingAccuracy,validationAccuracy,epoch_time_mins
1,1.2685,1.0817,0.4679,0.5184,16.3
2,1.1246,1.0659,0.5008,0.5037,16.3
3,1.0557,0.941,0.566,0.6743,16.3
4,1.009,0.9209,0.6135,0.6828,16.3
5,0.963,0.9242,0.6406,0.7567,16.4
6,0.9179,0.8124,0.6772,0.7478,16.8
7,0.8858,0.7725,0.7093,0.761,16.7
8,0.8739,0.7872,0.7292,0.7697,16.5
9,0.8265,0.7507,0.7426,0.79,16.6
10,0.8261,0.7126,0.7574,0.8166,16.7
