epoch,trainingloss,validationloss,trainingAccuracy,validationAccuracy,epoch_time_mins
1,1.154,1.1461,0.6107,0.6613,16.9
2,1.1024,1.0228,0.6692,0.4729,19.8
3,1.0102,0.9613,0.6779,0.8104,16.4
4,1.0144,0.9503,0.6778,0.6652,16.5
5,0.9837,0.9507,0.6806,0.6254,16.4
6,0.9677,0.9551,0.686,0.7697,16.4
7,0.9554,0.8769,0.6863,0.6415,16.4
8,0.9327,0.8987,0.7229,0.8294,16.3
9,0.883,0.9626,0.7161,0.7485,16.4
10,0.8233,0.882,0.7525,0.7831,16.4
